Time_s,Voltage_V,Current_mA,Power_mW
13.50,3.68,54.40,200.00
13.53,3.66,128.70,468.00
13.53,3.68,52.70,194.00
13.56,3.68,53.40,196.00
13.59,3.68,53.60,196.00
13.62,3.68,54.10,196.00
13.65,3.66,132.20,472.00
13.65,3.68,54.20,200.00
13.68,3.68,55.30,200.00
13.71,3.68,52.30,194.00
13.74,3.68,54.00,200.00
13.77,3.66,130.30,476.00
13.77,3.68,53.40,196.00
13.80,3.68,55.40,200.00
13.83,3.68,52.40,194.00
13.86,3.68,54.50,200.00
13.89,3.66,130.40,472.00
13.89,3.68,52.10,190.00
13.92,3.68,54.50,200.00
13.95,3.68,53.00,194.00
13.98,3.68,53.80,196.00
14.01,3.66,133.80,476.00
14.01,3.68,52.50,190.00
14.04,3.68,54.30,200.00
14.07,3.68,54.00,200.00
14.10,3.68,52.70,194.00
14.13,3.66,132.50,484.00
14.13,3.68,53.50,196.00
14.16,3.68,53.80,196.00
14.19,3.68,54.50,200.00
14.22,3.68,54.10,196.00
14.25,3.66,129.70,472.00
14.25,3.68,52.80,194.00
14.28,3.68,52.70,194.00
14.31,3.68,52.70,194.00
14.34,3.68,53.70,196.00
14.37,3.66,131.80,472.00
14.37,3.68,53.40,194.00
14.40,3.68,55.00,200.00
14.43,3.68,55.60,196.00
14.46,3.68,52.30,194.00
14.49,3.66,131.80,482.00
14.49,3.68,52.40,194.00
14.52,3.68,53.40,196.00
14.55,3.68,55.60,200.00
14.58,3.68,52.70,190.00
14.61,3.66,129.20,472.00
14.61,3.68,54.10,200.00
14.64,3.68,52.20,194.00
14.67,3.68,54.00,200.00
14.70,3.68,53.60,196.00
14.73,3.66,132.30,482.00
14.73,3.68,55.00,204.00
14.76,3.68,53.00,194.00
14.79,3.68,54.30,200.00
14.82,3.68,53.60,196.00
14.85,3.66,129.40,472.00
14.85,3.68,53.40,196.00
14.88,3.68,53.40,196.00
14.94,3.68,54.20,196.00
14.94,3.68,54.10,200.00
14.97,3.66,129.60,472.00
14.97,3.68,55.40,200.00
15.00,3.68,52.80,194.00
15.03,3.68,53.90,196.00
15.06,3.68,52.40,194.00
15.12,3.66,130.20,476.00
15.12,3.68,55.30,204.00
15.12,3.68,52.90,194.00
15.15,3.68,55.00,200.00
15.18,3.68,55.30,196.00
15.21,3.66,127.70,466.00
15.24,3.68,54.40,200.00
15.24,3.68,52.70,194.00
15.27,3.68,53.80,196.00
15.30,3.68,55.00,204.00
15.36,3.66,127.90,462.00
15.36,3.68,54.40,200.00
15.36,3.68,54.30,200.00
15.39,3.68,52.50,194.00
15.42,3.68,54.00,200.00
15.45,3.66,132.10,482.00
15.45,3.68,53.70,196.00
15.51,3.68,54.70,200.00
15.51,3.68,53.70,196.00
15.54,3.68,54.60,200.00
15.58,3.66,128.70,468.00
15.58,3.68,53.00,194.00
15.63,3.68,52.80,194.00
15.66,3.68,53.50,196.00
15.66,3.68,54.80,200.00
15.69,3.66,129.00,468.00
15.69,3.68,55.00,200.00
15.72,3.68,55.50,200.00
15.75,3.68,52.40,194.00
15.84,3.68,54.40,200.00
15.84,3.66,130.40,476.00
15.84,3.68,53.60,196.00
15.84,3.68,55.50,204.00
15.87,3.68,52.40,190.00
15.90,3.68,54.50,200.00
15.93,3.66,130.60,472.00
15.93,3.68,52.30,194.00
15.96,3.68,54.10,200.00
15.99,3.68,53.50,196.00
16.02,3.68,53.90,196.00
16.05,3.66,130.60,476.00
16.05,3.68,53.00,194.00
16.08,3.68,54.60,200.00
16.11,3.68,54.20,200.00
16.17,3.68,52.50,194.00
16.17,3.67,131.30,478.00
16.17,3.68,53.40,196.00
16.23,3.68,53.90,196.00
16.23,3.68,54.20,200.00
16.26,3.68,54.30,200.00
16.29,3.66,130.60,472.00
16.29,3.68,52.50,194.00
16.33,3.68,53.60,196.00
16.35,3.68,52.40,194.00
16.38,3.68,53.40,196.00
16.47,3.66,130.60,472.00
16.47,3.68,52.80,194.00
16.47,3.68,55.00,204.00
16.47,3.68,55.40,200.00
16.50,3.68,52.50,194.00
16.53,3.66,132.40,482.00
16.53,3.68,53.10,196.00
16.56,3.68,53.70,196.00
16.62,3.68,55.50,204.00
16.62,3.68,52.30,194.00
16.65,3.66,129.70,472.00
16.65,3.68,53.90,196.00
16.68,3.68,52.40,194.00
16.71,3.68,53.90,196.00
16.74,3.68,53.60,196.00
16.80,3.65,131.60,482.00
16.80,3.68,55.10,200.00
16.80,3.68,53.40,194.00
16.83,3.68,54.50,200.00
16.86,3.68,53.20,196.00
16.89,3.66,130.60,476.00
16.89,3.68,53.10,196.00
16.92,3.68,53.60,196.00
16.96,3.68,54.80,200.00
16.98,3.68,53.80,196.00
17.01,3.66,130.10,476.00
17.01,3.68,55.60,200.00
17.04,3.68,52.00,190.00
17.07,3.68,54.20,200.00
17.10,3.68,52.40,194.00
17.13,3.66,131.30,478.00
17.13,3.68,55.50,204.00
17.16,3.68,52.70,190.00
17.19,3.68,54.30,200.00
17.22,3.68,55.30,200.00
17.25,3.66,129.80,476.00
17.25,3.68,54.20,200.00
17.28,3.68,53.50,196.00
17.31,3.68,53.90,196.00
17.34,3.68,55.40,204.00
17.38,3.66,127.80,466.00
17.38,3.68,54.50,200.00
17.40,3.68,54.00,200.00
17.43,3.68,52.40,194.00
17.46,3.68,53.80,196.00
17.49,3.66,128.90,472.00
17.49,3.68,53.90,196.00
17.52,3.68,54.20,200.00
17.61,3.68,54.20,200.00
17.61,3.68,55.10,200.00
17.61,3.66,127.70,466.00
17.61,3.68,53.40,196.00
17.64,3.68,52.50,194.00
17.67,3.68,53.40,196.00
17.70,3.68,55.20,200.00
17.73,3.66,130.90,466.00
17.73,3.68,54.80,200.00
17.76,3.68,55.50,200.00
17.79,3.68,52.40,194.00
17.82,3.68,54.80,200.00
17.85,3.66,128.60,468.00
17.85,3.68,53.80,196.00
17.88,3.68,55.20,204.00
17.91,3.68,52.60,190.00
17.94,3.68,54.30,200.00
17.97,3.66,128.90,468.00
17.97,3.68,52.00,190.00
18.00,3.68,54.00,200.00
18.03,3.68,53.60,196.00
18.06,3.68,53.90,196.00
18.09,3.66,134.10,478.00
18.09,3.68,53.60,196.00
18.13,3.68,54.60,200.00
18.15,3.68,53.40,196.00
18.18,3.68,52.80,194.00
18.24,3.66,128.60,468.00
18.24,3.68,53.60,196.00
18.24,3.68,54.20,196.00
18.27,3.68,53.70,196.00
18.30,3.68,54.50,200.00
18.33,3.66,134.10,476.00
18.33,3.68,52.20,190.00
18.36,3.68,54.20,200.00
18.39,3.68,52.50,194.00
18.42,3.68,53.60,196.00
18.45,3.66,133.90,478.00
18.45,3.68,52.60,190.00
18.48,3.68,54.50,200.00
18.51,3.68,55.40,196.00
18.54,3.68,52.30,194.00
18.57,3.66,129.40,472.00
18.57,3.68,53.80,196.00
18.60,3.68,53.90,196.00
18.63,3.68,55.50,200.00
18.66,3.68,52.60,194.00
18.69,3.66,132.50,476.00
18.69,3.68,54.00,200.00
18.72,3.68,52.30,194.00
18.75,3.68,53.90,196.00
18.78,3.68,53.50,196.00
18.84,3.66,130.60,476.00
18.84,3.68,54.20,200.00
18.84,3.68,53.90,196.00
18.87,3.68,55.20,200.00
18.93,3.68,52.60,194.00
18.93,3.66,128.60,468.00
18.93,3.68,52.70,194.00
18.96,3.68,53.50,196.00
19.02,3.68,55.10,200.00
19.02,3.68,53.70,194.00
19.05,3.66,133.30,476.00
19.05,3.68,55.60,196.00
19.08,3.68,52.40,194.00
19.14,3.68,54.70,200.00
19.14,3.68,52.50,194.00
19.17,3.66,129.60,472.00
19.20,3.68,55.40,200.00
19.20,3.68,52.30,190.00
19.23,3.68,54.40,196.00
19.29,3.68,53.90,196.00
19.29,3.66,127.60,466.00
19.29,3.68,54.00,200.00
19.35,3.68,53.40,196.00
19.35,3.68,53.90,196.00
19.38,3.68,55.20,204.00
19.41,3.66,131.30,466.00
19.41,3.68,54.80,196.00
19.47,3.68,53.50,196.00
19.47,3.68,52.70,194.00
19.50,3.68,53.50,196.00
19.53,3.66,128.50,468.00
19.53,3.68,54.60,196.00
19.59,3.68,54.00,196.00
19.59,3.68,55.00,200.00
19.62,3.68,55.60,196.00
19.65,3.66,127.80,466.00
19.65,3.68,54.30,200.00
19.68,3.68,52.70,194.00
19.71,3.68,53.40,196.00
19.77,3.68,55.60,204.00
19.77,3.66,131.30,466.00
19.77,3.68,54.40,200.00
19.83,3.68,55.30,200.00
19.83,3.68,52.20,190.00
19.86,3.68,54.40,200.00
19.89,3.66,128.20,468.00
19.89,3.68,53.90,196.00
19.92,3.68,55.40,204.00
19.95,3.68,52.70,194.00
20.01,3.68,54.40,196.00
20.01,3.66,129.00,472.00
20.01,3.68,52.30,194.00
20.04,3.68,53.30,196.00
20.07,3.68,53.80,196.00
20.10,3.68,54.10,200.00
20.13,3.66,131.90,476.00
20.13,3.68,54.10,196.00
20.16,3.68,55.30,196.00
20.19,3.68,52.80,194.00
20.25,3.68,53.50,196.00
20.25,3.66,128.00,468.00
20.25,3.68,53.50,196.00
20.28,3.68,55.20,200.00
20.31,3.68,53.20,194.00
20.34,3.68,55.00,204.00
20.37,3.66,131.10,472.00
20.37,3.68,52.60,194.00
20.40,3.68,54.40,200.00
20.46,3.68,52.80,194.00
20.46,3.68,53.80,196.00
20.49,3.66,133.20,476.00
20.49,3.68,52.30,190.00
20.52,3.68,54.10,200.00
20.55,3.68,53.80,196.00
20.59,3.68,52.30,194.00
20.61,3.66,128.30,468.00
20.61,3.68,53.40,196.00
20.64,3.68,54.10,200.00
20.67,3.68,55.10,204.00
20.70,3.68,53.40,196.00
20.73,3.66,131.30,472.00
20.73,3.68,53.30,196.00
20.76,3.68,52.50,194.00
